detected_at,ts_iso,sport,username,headline,bettype,title,risk,win
"2026-08-16T19:24:33+00:00","2026-08-16T13:29:00Z","MLB","derekcarty","Derek Carty has a Max Clark Prop Today!","Player Prop","My Title","1.0","3.3"
"2026-08-16T19:24:33+00:00","2026-08-16T13:25:19Z","MLB","derekcarty","Derek Carty has a Tyler O'Neill Prop Today!","Player Prop","My Title","0.25","1.38"
"2026-08-16T19:24:33+00:00","2026-08-16T13:23:57Z","MLB","derekcarty","Derek Carty has a Eury Perez Prop Today!","Player Prop","My Title","1.0","1.13"
"2026-08-16T19:24:33+00:00","2026-08-16T13:23:17Z","MLB","derekcarty","Derek Carty has a Tanner Bibee Prop Today!","Player Prop","My Title","1.0","1.48"
"2026-08-17T12:50:23+00:00","2026-08-17T12:31:10Z","MLB","derekcarty","Derek Carty has a Carmen Mlodzinski Prop Today!","Player Prop","My Title","1.0","1.3"
"2026-08-17T13:29:42+00:00","2026-08-17T12:52:00Z","MLB","derekcarty","Derek Carty has a Joshua Baez Prop Today!","Player Prop","My Title","0.25","1.5"
"2026-08-17T13:29:42+00:00","2026-08-17T12:54:31Z","MLB","derekcarty","Derek Carty has a Tomoyuki Sugano Prop Today!","Player Prop","My Title","1.4","1.0"
"2026-08-18T19:44:39+00:00","2026-08-18T19:22:41Z","MLB","derekcarty","Derek Carty has a Chandler Simpson Prop Today!","Player Prop","My Title","1.0","1.2"
"2026-08-19T22:34:19+00:00","2026-08-19T22:12:19Z","MLB","derekcarty","Derek Carty has a Jeff McNeil Prop Today!","Player Prop","My Title","1.0","3.5"
"2026-08-20T13:14:24+00:00","2026-08-20T13:10:48Z","MLB","derekcarty","Derek Carty has a Ian Seymour Prop Today!","Player Prop","My Title","1.0","1.33"
"2026-08-20T13:14:24+00:00","2026-08-20T13:12:20Z","MLB","derekcarty","Derek Carty has a Robert Gasser Prop Today!","Player Prop","My Title","1.0","1.0"
"2026-08-20T21:44:59+00:00","2026-08-20T21:30:31Z","MLB","derekcarty","Derek Carty has a Carlos Narvaez Prop Today!","Player Prop","My Title","1.0","5.26"
"2026-08-21T22:39:23+00:00","2026-08-21T22:27:26Z","MLB","derekcarty","Derek Carty has a Nick Allen Prop Today!","Player Prop","My Title","1.0","1.32"
